survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt,all_topics_discussed,supporting_quote,ai_topic_reasoning,customer_sentiment,process_time,model_version
S011,26/04/2025,0437 429 489,0459 656 420,Mobile App,Combined,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Rude staff interaction', 'Confusing process', 'Slow service']",I faced a rude staff recently and it caused significant inconvenience.,"The comment highlights issues with staff behavior leading to a negative experience, as well as inefficiencies in the service process.",Negative,2025-11-18T21:46:10,gpt-4o-mini
S012,4/09/2025,0476 591 218,0461 363 116,Phone,Combined,ACT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Website bug resolution', 'Lack of escalation process', 'Accountability issues']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The comment highlights positive feedback on bug resolution but points out significant organizational issues related to escalation and accountability.,Negative,2025-11-18T21:46:13,gpt-4o-mini
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Poor customer support', 'Unresolved issues', 'Service quality expectations']",The overall experience was not great due to a delivery delay.,"The customer expressed dissatisfaction with several aspects of the service, particularly delays and support interactions.",Negative,2025-11-18T21:46:16,gpt-4o-mini
S014,8/09/2025,0432 913 890,0432 123 806,Email,Extras,WA,"I'm annoyed about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issue', 'Lack of escalation process', 'Poor team accountability']",I'm annoyed about how my account locked was addressed.,"The customer expresses frustration over how their account lock situation was handled, indicating systemic issues in escalation and accountability.",Negative,2025-11-18T21:46:19,gpt-4o-mini
S015,5/05/2025,0457 674 111,0442 649 469,Web,Extras,QLD,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Slow response time', 'Confusing process', 'Frustrating experience']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced delays in response and found the process difficult to navigate, leading to significant frustration.",Negative,2025-11-18T21:46:21,gpt-4o-mini
S016,11/09/2025,0492 243 675,0416 863 979,Phone,Extras,QLD,"I'm angry about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issue', 'Lack of escalation process', 'Accountability concerns']",I'm angry about how my account locked was addressed.,The user expresses frustration about the handling of their account lock and the absence of a proper escalation process.,Negative,2025-11-18T21:46:24,gpt-4o-mini
S017,31/08/2025,0417 284 767,0445 797 704,Mobile App,Ambulance Cover,NT,"Although the product itself is fine, the rude staff made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Rude staff interaction', 'Unpleasant customer experience', 'Need for smoother interactions']",the rude staff made the experience unpleasant.,"The customer highlights negative interactions with staff, impacting their overall experience. They desire improved efficiency in future dealings.",Negative,2025-11-18T21:46:27,gpt-4o-mini
S018,10/05/2025,0419 222 168,0498 686 581,Phone,Travel,WA,"I'm disappointed about how my unclear instructions was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unclear instructions handling', 'Lack of escalation process', 'No accountability within team']",I'm disappointed about how my unclear instructions was addressed.,The customer expresses dissatisfaction with the handling of their instructions and the absence of a clear escalation process.,Negative,2025-11-18T21:46:30,gpt-4o-mini
S019,18/08/2025,0479 657 820,0445 144 173,Mobile App,Extras,NT,"I am quite polite but firm with how the miscommunication was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Miscommunication handling', 'Prolonged resolution time', 'Lack of clear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer faced issues with how miscommunication was addressed and experienced delays in obtaining a resolution.,Negative,2025-11-18T21:46:33,gpt-4o-mini
S020,21/05/2025,0412 231 446,0415 740 755,Branch,Hospital,WA,The overall experience was not great due to a damaged parcel. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Damaged parcel', 'Unresolved issue', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a damaged parcel.,The customer expresses dissatisfaction with the service related to a damaged parcel and repeated contacts with support without resolution.,Negative,2025-11-18T21:46:36,gpt-4o-mini
S021,15/08/2025,0402 819 829,0473 984 722,Email,Travel,VIC,"I'm frustrated about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Wrong item sent', 'Lack of escalation process', 'Poor accountability']",I'm frustrated about how my wrong item sent was addressed.,"The customer expresses frustration with the handling of a wrong item and mentions issues with escalation and accountability, indicating a need for improved processes.",Negative,2025-11-18T21:46:40,gpt-4o-mini
S022,12/06/2025,0462 414 269,0472 490 335,Phone,Combined,WA,"Although the product itself is fine, the refund process made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Unpleasant refund process', 'Need for smoother interactions']",the refund process made the experience unpleasant.,"The customer expressed dissatisfaction with the refund process, indicating it negatively impacted their overall experience. They desire improvements for future interactions.",Negative,2025-11-18T21:46:43,gpt-4o-mini
S023,14/05/2025,0451 542 875,0433 433 408,Phone,Ambulance Cover,NSW,The overall experience was not great due to a website bug. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Website bug', 'Poor service quality', 'Frequent support contact']",The overall experience was not great due to a website bug.,The user faced a significant issue with the website that led to dissatisfaction and required multiple contacts with support.,Negative,2025-11-18T21:46:46,gpt-4o-mini
S024,5/06/2025,0441 689 427,0462 140 866,Branch,Extras,WA,"I am quite angry with how the slow response was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Slow response time', 'Unclear communication', 'Delayed resolution']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses frustration with the delay in response and clarity from support, indicating operational inefficiencies.",Negative,2025-11-18T21:46:49,gpt-4o-mini
S025,14/06/2025,0411 415 595,0463 140 146,Web,Ambulance Cover,TAS,"Although the product itself is fine, the system crash made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['System crash', 'Unpleasant experience', 'Need for smoother interactions']",the system crash made the experience unpleasant.,"The customer experienced an issue with a system crash, affecting their overall satisfaction. They desire more efficient interactions in the future.",Negative,2025-11-18T21:46:51,gpt-4o-mini
S026,9/09/2025,0424 803 858,0475 583 999,Phone,Combined,VIC,"I'm disappointed about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Wrong item sent', 'Lack of escalation process', 'Poor team accountability']",I'm disappointed about how my wrong item sent was addressed.,The customer expresses dissatisfaction with how an incorrect item was handled and highlights issues with escalation and accountability.,Negative,2025-11-18T21:46:54,gpt-4o-mini
S027,20/04/2025,0408 138 308,0417 912 804,Phone,Hospital,VIC,"I faced a poor product quality recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Poor product quality', 'Inconvenience caused', 'Confusing process', 'Slow service']",I faced a poor product quality recently and it caused significant inconvenience.,"The customer experienced issues with product quality and found the service process to be inadequate, leading to frustration.",Negative,2025-11-18T21:46:57,gpt-4o-mini
S028,28/08/2025,0483 441 772,0426 821 409,Phone,Travel,SA,"I am quite neutral with how the rude staff was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Rude staff handling', 'Long resolution time', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer mentions dissatisfaction with staff behavior and the slow resolution process, along with poor communication.",Neutral,2025-11-18T21:47:00,gpt-4o-mini
S029,25/07/2025,0452 488 607,0491 785 753,Branch,Travel,NT,"I'm frustrated about how my no follow up was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Lack of follow-up', 'Poor escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer expresses frustration over inadequate follow-up and a lack of escalation and accountability within the team.,Negative,2025-11-18T21:47:03,gpt-4o-mini
S030,9/08/2025,0457 962 427,0455 119 790,Phone,Hospital,ACT,"I'm angry about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Billing error handling', 'Lack of escalation process', 'Accountability issues']",I'm angry about how my billing error was addressed.,"The customer expresses frustration over the inadequate handling of a billing issue, highlighting systemic problems in escalation and accountability.",Negative,2025-11-18T21:47:05,gpt-4o-mini
S031,9/05/2025,0426 414 148,0408 974 785,Phone,Hospital,ACT,"I faced a billing error recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Billing error issue', 'Inconvenient experience', 'Confusing process', 'Slow service']",I faced a billing error recently and it caused significant inconvenience.,The customer experienced a billing error that led to frustration due to a confusing and slow resolution process.,Negative,2025-11-18T21:47:08,gpt-4o-mini
S032,28/05/2025,0418 262 512,0450 176 529,Email,Extras,NT,"I am quite frustrated with how the account locked was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Frustrating account lock handling', 'Delayed resolution time', 'Unclear communication from support']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expressed frustration regarding the handling of their account lock, highlighting delays and poor communication.",Negative,2025-11-18T21:47:11,gpt-4o-mini
S033,25/09/2025,0486 964 857,0407 259 871,Mobile App,Extras,NSW,"I am quite frustrated with how the wrong item sent was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Frustration with wrong item', 'Delayed resolution', 'Unclear communication from support']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses frustration with the handling of a wrong item, noting delays in resolution and lack of clarity in communication.",Negative,2025-11-18T21:47:14,gpt-4o-mini
S034,5/06/2025,0475 579 490,0405 875 964,Phone,Extras,QLD,"I faced a account locked recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Account lock issue', 'Confusing resolution process', 'Slow assistance']","the process was confusing and slow, making the whole experience frustrating.",The customer experienced significant inconvenience due to a locked account and found the resolution process inadequate.,Negative,2025-11-18T21:47:16,gpt-4o-mini
S035,18/06/2025,0444 886 584,0404 234 859,Phone,Extras,ACT,"I'm annoyed about how my unhelpful agent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unhelpful agent', 'Lack of escalation process', 'No accountability']",I'm annoyed about how my unhelpful agent was addressed.,The customer expresses frustration with the service received from the agent and highlights issues with the internal processes.,Negative,2025-11-18T21:47:19,gpt-4o-mini
S036,26/06/2025,0416 375 120,0475 296 370,Web,Ambulance Cover,NT,The overall experience was not great due to a wrong item sent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Wrong item sent', 'Poor customer support', 'Unresolved issue', 'Expectation of better service']",The overall experience was not great due to a wrong item sent.,"The customer faced multiple issues including receiving the wrong item and inadequate support, impacting their overall experience.",Negative,2025-11-18T21:47:21,gpt-4o-mini
S037,26/04/2025,0441 588 966,0468 157 576,Phone,Travel,VIC,"I faced a long waiting time recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Long waiting time', 'Confusing process', 'Slow service', 'Frustrating experience']",I faced a long waiting time recently and it caused significant inconvenience.,"The customer encountered multiple issues with the service, highlighting delays and confusion, which detracted from their experience.",Negative,2025-11-18T21:47:24,gpt-4o-mini
S038,29/05/2025,0416 365 341,0488 431 291,Branch,Ambulance Cover,QLD,"I faced a unclear instructions recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unclear instructions', 'Confusing process', 'Slow experience']",I faced a unclear instructions recently and it caused significant inconvenience.,"The customer had difficulty understanding the process due to unclear instructions, which led to frustration and delays.",Negative,2025-11-18T21:47:27,gpt-4o-mini
S039,7/09/2025,0433 529 243,0491 561 954,Branch,Hospital,SA,"I am quite frustrated with how the long waiting time was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Long waiting time', 'Unclear communication', 'Delayed resolution']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer expresses frustration over the slow resolution times and insufficient communication from support.,Negative,2025-11-18T21:47:30,gpt-4o-mini
S040,17/06/2025,0483 268 385,0418 684 171,Branch,Hospital,ACT,"I faced a unhelpful agent recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unhelpful agent', 'Confusing process', 'Slow service', 'Inconvenient experience']","the process was confusing and slow, making the whole experience frustrating.",The customer experienced significant frustration due to both the agent's lack of helpfulness and the inefficiency of the process.,Negative,2025-11-18T21:47:33,gpt-4o-mini
S041,7/08/2025,0432 198 848,0485 162 101,Web,Extras,WA,"I faced a delivery delay recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Delivery delay', 'Inconvenient experience', 'Confusing process', 'Slow resolution']",I faced a delivery delay recently and it caused significant inconvenience.,"The customer experienced a delay in delivery which was inconvenient, compounded by a confusing process.",Negative,2025-11-18T21:47:36,gpt-4o-mini
S042,30/04/2025,0468 845 930,0479 216 981,Phone,Hospital,NT,"Although the product itself is fine, the poor product quality made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Poor product quality', 'Unpleasant experience', 'Need for efficient interactions']",the poor product quality made the experience unpleasant.,The comment indicates dissatisfaction with product quality affecting the overall experience.,Negative,2025-11-18T21:47:38,gpt-4o-mini
S043,15/07/2025,0462 933 938,0423 171 108,Branch,Combined,QLD,The overall experience was not great due to a unhelpful agent. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Unhelpful customer agent', 'Multiple support contacts', 'Poor service quality']",The overall experience was not great due to a unhelpful agent.,"The customer faced challenges with support and service quality, indicating a need for agent training and issue resolution improvement.",Negative,2025-11-18T21:47:40,gpt-4o-mini
S044,29/09/2025,0422 131 296,0422 837 292,Email,Ambulance Cover,WA,"I'm constructive about how my rude staff was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Rude staff interaction', 'Lack of escalation process', 'No accountability']",It seems like there is no proper escalation process or accountability within the team...,The comment highlights issues with staff behavior and internal processes that affect customer experience.,Negative,2025-11-18T21:47:43,gpt-4o-mini
S045,31/08/2025,0486 432 391,0498 231 531,Phone,Extras,WA,"I faced a unclear instructions recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unclear instructions', 'Confusing process', 'Slow resolution']","the process was confusing and slow, making the whole experience frustrating.","The customer experienced challenges due to unclear instructions and a confusing process, leading to frustration.",Negative,2025-11-18T21:47:45,gpt-4o-mini
S046,3/06/2025,0434 637 721,0463 808 864,Web,Combined,SA,"I faced a poor product quality recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Poor product quality', 'Confusing process', 'Slow service']","the agent tried to help, the process was confusing and slow, making the whole experience frustrating.",The comment highlights issues with product quality and the frustrations experienced during a confusing service process.,Negative,2025-11-18T21:47:48,gpt-4o-mini
S047,21/09/2025,0495 325 834,0443 249 669,Branch,Ambulance Cover,WA,"I am quite polite but firm with how the billing error was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Billing error handling', 'Delayed resolution', 'Unclear communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer experienced issues with how the billing error was addressed, as well as delays and lack of clear communication.",Negative,2025-11-18T21:47:51,gpt-4o-mini
S048,23/05/2025,0461 873 246,0420 739 308,Web,Hospital,VIC,"I'm frustrated about how my damaged parcel was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Frustration with parcel handling', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer expresses frustration over the handling of a damaged parcel and highlights service gaps.,Negative,2025-11-18T21:47:54,gpt-4o-mini
S049,5/10/2025,0499 662 279,0418 221 908,Branch,Ambulance Cover,VIC,The overall experience was not great due to a missing item. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Missing item issue', 'Inadequate customer support', 'Poor service quality']",The overall experience was not great due to a missing item.,"The customer faced an unresolved issue with a missing item and had to contact support multiple times, indicating dissatisfaction with service.",Negative,2025-11-18T21:47:57,gpt-4o-mini
S050,31/07/2025,0463 154 961,0479 993 897,Branch,Hospital,TAS,"I faced a system crash recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['System crash inconvenience', 'Confusing process', 'Slow support']","the process was confusing and slow, making the whole experience frustrating.",The customer experienced a significant disruption due to a system crash and found the support process unsatisfactory.,Negative,2025-11-18T21:47:59,gpt-4o-mini
S051,4/06/2025,0447 899 554,0466 742 519,Phone,Combined,TAS,"I am quite annoyed with how the double charge was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Double charge issue', 'Delayed resolution', 'Poor communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer experienced frustration due to a double charge and noted the lack of clear communication and delays in resolving the issue.,Negative,2025-11-18T21:48:04,gpt-4o-mini
S052,11/06/2025,0489 823 643,0465 718 550,Phone,Combined,ACT,"I'm constructive about how my poor product quality was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Poor product quality', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer acknowledges that their product quality issue was addressed but highlights organizational shortcomings.,Negative,2025-11-18T21:48:07,gpt-4o-mini
S053,26/07/2025,0468 717 632,0484 386 677,Email,Ambulance Cover,VIC,"I faced a unclear instructions recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Unclear instructions', 'Confusing process', 'Slow service']","the process was confusing and slow, making the whole experience frustrating.","The customer encountered unclear instructions and a confusing process, leading to frustration and inconvenience.",Negative,2025-11-18T21:48:09,gpt-4o-mini
S054,7/06/2025,0410 159 402,0437 807 742,Web,Extras,NSW,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Slow response time', 'Inconvenient experience', 'Confusing process']",I faced a slow response recently and it caused significant inconvenience.,"The customer experienced delays that led to frustration, indicating a need for process improvements.",Negative,2025-11-18T21:48:12,gpt-4o-mini
S055,18/04/2025,0411 706 375,0446 805 740,Mobile App,Combined,WA,"I faced a inconsistent information recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Inconsistent information', 'Confusing process', 'Slow customer service']","the process was confusing and slow, making the whole experience frustrating.",The customer experienced inconsistencies in information that led to frustration due to the confusing and slow process.,Negative,2025-11-18T21:48:14,gpt-4o-mini
S056,10/07/2025,0415 587 733,0474 299 199,Mobile App,Combined,WA,The overall experience was not great due to a no follow up. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Lack of follow-up', 'Unresolved issues', 'Poor service quality']",The overall experience was not great due to a no follow up.,The customer expresses dissatisfaction with the service due to inadequate follow-up and unresolved issues.,Negative,2025-11-18T21:48:17,gpt-4o-mini
S057,27/05/2025,0479 498 148,0410 525 272,Branch,Combined,VIC,"I am quite constructive with how the delivery delay was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Delivery delay handling', 'Unclear communication', 'Slow resolution time']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expressed concerns about the handling of a delivery delay, specifically regarding communication and resolution time.",Negative,2025-11-18T21:48:20,gpt-4o-mini
S058,14/09/2025,0437 583 303,0421 865 671,Phone,Hospital,ACT,"Although the product itself is fine, the website bug made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Website bug', 'Unpleasant experience', 'Need for smoother interactions']",the website bug made the experience unpleasant.,The customer faced issues with a bug on the website that impacted their experience. They desire improvements for future interactions.,Negative,2025-11-18T21:48:22,gpt-4o-mini
S059,12/04/2025,0435 463 273,0436 662 798,Mobile App,Travel,SA,"Although the product itself is fine, the delivery delay made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Delivery delay', 'Unpleasant experience', 'Need for smoother interactions']",the delivery delay made the experience unpleasant.,The comment highlights issues with delivery times affecting customer satisfaction and expresses a desire for better future interactions.,Negative,2025-11-18T21:48:25,gpt-4o-mini
S060,18/09/2025,0446 881 906,0405 297 144,Web,Ambulance Cover,NSW,"Although the product itself is fine, the unhelpful agent made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Unhelpful customer service', 'Need for smoother interactions']",the unhelpful agent made the experience unpleasant,"The customer found the agent unhelpful, which detracted from their overall experience. They desire a more efficient service in the future.",Negative,2025-11-18T21:48:29,gpt-4o-mini
S061,4/07/2025,0435 540 927,0407 969 758,Phone,Combined,WA,"I'm polite but firm about how my poor product quality was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Poor product quality', 'Lack of escalation process', 'No accountability']",It seems like there is no proper escalation process or accountability within the team.,The comments indicate dissatisfaction with the product quality and highlights issues in the handling of complaints.,Negative,2025-11-18T21:48:31,gpt-4o-mini
S062,29/09/2025,0420 684 240,0479 634 113,Web,Travel,QLD,The overall experience was not great due to a double charge. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Double charge issue', 'Poor service quality', 'Unresolved support contact']",The overall experience was not great due to a double charge.,The customer faced a double charge and had to reach out multiple times for support. This indicates issues with billing and customer service.,Negative,2025-11-18T21:48:33,gpt-4o-mini
S063,24/06/2025,0435 109 493,0483 353 842,Email,Travel,WA,The overall experience was not great due to a miscommunication. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Poor communication', 'Multiple support contacts', 'Unresolved issue', 'Service quality expectations']",The overall experience was not great due to a miscommunication.,"The customer faced issues with communication and service quality, leading to dissatisfaction and unresolved problems.",Negative,2025-11-18T21:48:36,gpt-4o-mini
S064,1/10/2025,0422 996 199,0441 790 847,Mobile App,Travel,TAS,"I'm annoyed about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Poor bug resolution', 'Lack of escalation process', 'No accountability within team']",It seems like there is no proper escalation process or accountability within the team.,The customer expresses dissatisfaction with the handling of a website issue due to inadequate processes and team responsibility.,Negative,2025-11-18T21:48:39,gpt-4o-mini
S065,23/06/2025,0430 649 956,0459 720 454,Branch,Ambulance Cover,QLD,The overall experience was not great due to a missing item. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Missing item issue', 'Poor service quality', 'Unresolved support tickets']",The overall experience was not great due to a missing item.,"The customer faced issues with missing items and had to repeatedly contact support without resolution, indicating poor service quality.",Negative,2025-11-18T21:48:41,gpt-4o-mini
S066,19/05/2025,0479 191 974,0410 570 646,Phone,Extras,WA,"I'm frustrated about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Frustration with bug resolution', 'Lack of escalation process', 'Absence of accountability']",I'm frustrated about how my website bug was addressed.,The comment indicates dissatisfaction with the handling of a website issue and highlights organizational shortcomings.,Negative,2025-11-18T21:48:44,gpt-4o-mini
S067,6/08/2025,0447 758 562,0440 202 624,Phone,Extras,NT,"Although the product itself is fine, the account locked made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Account locking issues', 'Unpleasant customer experience', 'Need for smoother interactions']",the account locked made the experience unpleasant.,"The account locking caused frustration, affecting overall satisfaction. There is a desire for improved interactions.",Negative,2025-11-18T21:48:47,gpt-4o-mini
S068,19/05/2025,0419 186 864,0493 302 350,Branch,Extras,ACT,The overall experience was not great due to a no follow up. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Lack of follow-up', 'Multiple support contacts', 'Unresolved issue', 'Poor service quality']",The overall experience was not great due to a no follow up.,The customer expressed dissatisfaction with the lack of follow-up and resolution from support. This indicates a need for improved service processes.,Negative,2025-11-18T21:48:50,gpt-4o-mini
