survey_id,Date,ANI,DNIS,channel,product,state,call_transcrpt,all_topics_discussed,supporting_quote,ai_topic_reasoning,customer_sentiment,process_time,model_version,topic_cluster_ids,topic_discussed,general_topic_l1
S004,7/10/2025,0473 983 205,0459 260 949,Email,Ambulance Cover,WA,"I'm frustrated about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Frustration with billing error', 'Lack of escalation process', 'Accountability issues within team']",I'm frustrated about how my billing error was addressed.,The customer expresses frustration regarding the handling of a billing mistake and highlights systemic issues.,Negative,2025-11-18T22:46:11,gpt-4o-mini,"[9, 3, 5]",Frustration with billing error,Billing discrepancies management
S004,7/10/2025,0473 983 205,0459 260 949,Email,Ambulance Cover,WA,"I'm frustrated about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Frustration with billing error', 'Lack of escalation process', 'Accountability issues within team']",I'm frustrated about how my billing error was addressed.,The customer expresses frustration regarding the handling of a billing mistake and highlights systemic issues.,Negative,2025-11-18T22:46:11,gpt-4o-mini,"[9, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S004,7/10/2025,0473 983 205,0459 260 949,Email,Ambulance Cover,WA,"I'm frustrated about how my billing error was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Frustration with billing error', 'Lack of escalation process', 'Accountability issues within team']",I'm frustrated about how my billing error was addressed.,The customer expresses frustration regarding the handling of a billing mistake and highlights systemic issues.,Negative,2025-11-18T22:46:11,gpt-4o-mini,"[9, 3, 5]",Accountability issues within team,Team accountability challenges
S005,8/05/2025,0431 723 805,0474 448 944,Web,Combined,QLD,"I'm polite but firm about how my double charge was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Double charge issue', 'Lack of escalation process', 'Accountability concerns']",It seems like there is no proper escalation process or accountability within the team.,The customer feels frustrated with the handling of their double charge and the absence of a clear escalation pathway.,Negative,2025-11-18T22:46:14,gpt-4o-mini,"[9, 3, 5]",Double charge issue,Billing discrepancies management
S005,8/05/2025,0431 723 805,0474 448 944,Web,Combined,QLD,"I'm polite but firm about how my double charge was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Double charge issue', 'Lack of escalation process', 'Accountability concerns']",It seems like there is no proper escalation process or accountability within the team.,The customer feels frustrated with the handling of their double charge and the absence of a clear escalation pathway.,Negative,2025-11-18T22:46:14,gpt-4o-mini,"[9, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S005,8/05/2025,0431 723 805,0474 448 944,Web,Combined,QLD,"I'm polite but firm about how my double charge was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Double charge issue', 'Lack of escalation process', 'Accountability concerns']",It seems like there is no proper escalation process or accountability within the team.,The customer feels frustrated with the handling of their double charge and the absence of a clear escalation pathway.,Negative,2025-11-18T22:46:14,gpt-4o-mini,"[9, 3, 5]",Accountability concerns,Team accountability challenges
S006,7/08/2025,0402 226 131,0439 460 699,Mobile App,Hospital,TAS,"I am quite neutral with how the website bug was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough. Plz contact me with test@gmail.com","['Slow website bug resolution', 'Unclear support communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer feels neutral but indicates delays and lack of clarity in communication regarding a website issue.,Neutral,2025-11-18T22:46:17,gpt-4o-mini,"[4, 1]",Slow website bug resolution,Service response efficiency
S006,7/08/2025,0402 226 131,0439 460 699,Mobile App,Hospital,TAS,"I am quite neutral with how the website bug was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough. Plz contact me with test@gmail.com","['Slow website bug resolution', 'Unclear support communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.",The customer feels neutral but indicates delays and lack of clarity in communication regarding a website issue.,Neutral,2025-11-18T22:46:17,gpt-4o-mini,"[4, 1]",Unclear support communication,Support communication challenges
S007,6/09/2025,0483 808 234,0477 771 590,Mobile App,Hospital,WA,"I faced a website bug recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Website bug', 'Confusing support process', 'Slow assistance']","While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","The comment indicates issues with a website malfunction and dissatisfaction with the support process, highlighting confusion and delays.",Negative,2025-11-18T22:46:19,gpt-4o-mini,"[11, 1, 4]",Website bug,System stability issues
S007,6/09/2025,0483 808 234,0477 771 590,Mobile App,Hospital,WA,"I faced a website bug recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Website bug', 'Confusing support process', 'Slow assistance']","While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","The comment indicates issues with a website malfunction and dissatisfaction with the support process, highlighting confusion and delays.",Negative,2025-11-18T22:46:19,gpt-4o-mini,"[11, 1, 4]",Confusing support process,Support communication challenges
S007,6/09/2025,0483 808 234,0477 771 590,Mobile App,Hospital,WA,"I faced a website bug recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Website bug', 'Confusing support process', 'Slow assistance']","While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","The comment indicates issues with a website malfunction and dissatisfaction with the support process, highlighting confusion and delays.",Negative,2025-11-18T22:46:19,gpt-4o-mini,"[11, 1, 4]",Slow assistance,Service response efficiency
S008,7/05/2025,0495 466 645,0474 507 363,Phone,Hospital,SA,"I'm polite but firm about how my missing item was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer is expressing frustration over inadequate procedures for handling missing items and a lack of responsibility among the team.,Negative,2025-11-18T22:46:23,gpt-4o-mini,"[3, 5]",Lack of escalation process,Escalation and follow-up issues
S008,7/05/2025,0495 466 645,0474 507 363,Phone,Hospital,SA,"I'm polite but firm about how my missing item was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer is expressing frustration over inadequate procedures for handling missing items and a lack of responsibility among the team.,Negative,2025-11-18T22:46:23,gpt-4o-mini,"[3, 5]",Accountability issues,Team accountability challenges
S009,11/07/2025,0451 658 257,0400 305 253,Web,Ambulance Cover,TAS,The overall experience was not great due to a inconsistent information. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Inconsistent information', 'Multiple support contacts', 'Poor service quality']",The overall experience was not great due to a inconsistent information.,"The response highlights issues with information reliability and the need for multiple interactions, indicating service deficiencies.",Negative,2025-11-18T22:46:25,gpt-4o-mini,"[10, 1, 2]",Inconsistent information,Communication improvement needs
S009,11/07/2025,0451 658 257,0400 305 253,Web,Ambulance Cover,TAS,The overall experience was not great due to a inconsistent information. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Inconsistent information', 'Multiple support contacts', 'Poor service quality']",The overall experience was not great due to a inconsistent information.,"The response highlights issues with information reliability and the need for multiple interactions, indicating service deficiencies.",Negative,2025-11-18T22:46:25,gpt-4o-mini,"[10, 1, 2]",Multiple support contacts,Support communication challenges
S009,11/07/2025,0451 658 257,0400 305 253,Web,Ambulance Cover,TAS,The overall experience was not great due to a inconsistent information. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Inconsistent information', 'Multiple support contacts', 'Poor service quality']",The overall experience was not great due to a inconsistent information.,"The response highlights issues with information reliability and the need for multiple interactions, indicating service deficiencies.",Negative,2025-11-18T22:46:25,gpt-4o-mini,"[10, 1, 2]",Poor service quality,Service and Product Quality
S010,23/05/2025,0442 181 808,0435 263 394,Web,Hospital,QLD,"I'm constructive about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Proper escalation process', 'Lack of accountability', 'Wrong item addressed']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The comment highlights issues with escalation and accountability in dealing with the wrong item sent.,Negative,2025-11-18T22:46:28,gpt-4o-mini,"[3, 5, 7]",Proper escalation process,Escalation and follow-up issues
S010,23/05/2025,0442 181 808,0435 263 394,Web,Hospital,QLD,"I'm constructive about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Proper escalation process', 'Lack of accountability', 'Wrong item addressed']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The comment highlights issues with escalation and accountability in dealing with the wrong item sent.,Negative,2025-11-18T22:46:28,gpt-4o-mini,"[3, 5, 7]",Lack of accountability,Team accountability challenges
S010,23/05/2025,0442 181 808,0435 263 394,Web,Hospital,QLD,"I'm constructive about how my wrong item sent was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Proper escalation process', 'Lack of accountability', 'Wrong item addressed']","It seems like there is no proper escalation process or accountability within the team, which made things worse.",The comment highlights issues with escalation and accountability in dealing with the wrong item sent.,Negative,2025-11-18T22:46:28,gpt-4o-mini,"[3, 5, 7]",Wrong item addressed,Incorrect item management
S011,26/04/2025,0437 429 489,0459 656 420,Mobile App,Combined,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Rude staff interaction', 'Confusing process', 'Slow service']",I faced a rude staff recently and it caused significant inconvenience.,The customer experienced a negative interaction with staff and found the service process unclear and prolonged.,Negative,2025-11-18T22:46:31,gpt-4o-mini,"[8, 10, 4]",Rude staff interaction,Customer service issues
S011,26/04/2025,0437 429 489,0459 656 420,Mobile App,Combined,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Rude staff interaction', 'Confusing process', 'Slow service']",I faced a rude staff recently and it caused significant inconvenience.,The customer experienced a negative interaction with staff and found the service process unclear and prolonged.,Negative,2025-11-18T22:46:31,gpt-4o-mini,"[8, 10, 4]",Confusing process,Communication improvement needs
S011,26/04/2025,0437 429 489,0459 656 420,Mobile App,Combined,SA,"I faced a rude staff recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Rude staff interaction', 'Confusing process', 'Slow service']",I faced a rude staff recently and it caused significant inconvenience.,The customer experienced a negative interaction with staff and found the service process unclear and prolonged.,Negative,2025-11-18T22:46:31,gpt-4o-mini,"[8, 10, 4]",Slow service,Service response efficiency
S012,4/09/2025,0476 591 218,0461 363 116,Phone,Combined,ACT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Website bug resolution', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer is positive about the resolution but points out significant process issues.,Neutral,2025-11-18T22:46:33,gpt-4o-mini,"[7, 3, 5]",Website bug resolution,Incorrect item management
S012,4/09/2025,0476 591 218,0461 363 116,Phone,Combined,ACT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Website bug resolution', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer is positive about the resolution but points out significant process issues.,Neutral,2025-11-18T22:46:33,gpt-4o-mini,"[7, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S012,4/09/2025,0476 591 218,0461 363 116,Phone,Combined,ACT,"I'm constructive about how my website bug was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Website bug resolution', 'Lack of escalation process', 'Accountability issues']",It seems like there is no proper escalation process or accountability within the team.,The customer is positive about the resolution but points out significant process issues.,Neutral,2025-11-18T22:46:33,gpt-4o-mini,"[7, 3, 5]",Accountability issues,Team accountability challenges
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Multiple support contacts', 'Unresolved issue', 'Poor service quality']",The overall experience was not great due to a delivery delay.,"The customer faced significant issues with delivery and support, indicating a need for service improvement.",Negative,2025-11-18T22:46:36,gpt-4o-mini,"[0, 1, 1, 2]",Delivery delay,Delivery handling concerns
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Multiple support contacts', 'Unresolved issue', 'Poor service quality']",The overall experience was not great due to a delivery delay.,"The customer faced significant issues with delivery and support, indicating a need for service improvement.",Negative,2025-11-18T22:46:36,gpt-4o-mini,"[0, 1, 1, 2]",Multiple support contacts,Support communication challenges
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Multiple support contacts', 'Unresolved issue', 'Poor service quality']",The overall experience was not great due to a delivery delay.,"The customer faced significant issues with delivery and support, indicating a need for service improvement.",Negative,2025-11-18T22:46:36,gpt-4o-mini,"[0, 1, 1, 2]",Unresolved issue,Support communication challenges
S013,18/05/2025,0479 122 567,0442 539 199,Email,Ambulance Cover,ACT,The overall experience was not great due to a delivery delay. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Delivery delay', 'Multiple support contacts', 'Unresolved issue', 'Poor service quality']",The overall experience was not great due to a delivery delay.,"The customer faced significant issues with delivery and support, indicating a need for service improvement.",Negative,2025-11-18T22:46:36,gpt-4o-mini,"[0, 1, 1, 2]",Poor service quality,Service and Product Quality
S014,8/09/2025,0432 913 890,0432 123 806,Email,Extras,WA,"I'm annoyed about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issues', 'Lack of escalation process', 'Poor team accountability']",It seems like there is no proper escalation process or accountability within the team.,The user is frustrated with the handling of their account lock situation and the apparent lack of procedures for escalation or accountability.,Negative,2025-11-18T22:46:39,gpt-4o-mini,"[6, 3, 5]",Account lock issues,Account locking challenges
S014,8/09/2025,0432 913 890,0432 123 806,Email,Extras,WA,"I'm annoyed about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issues', 'Lack of escalation process', 'Poor team accountability']",It seems like there is no proper escalation process or accountability within the team.,The user is frustrated with the handling of their account lock situation and the apparent lack of procedures for escalation or accountability.,Negative,2025-11-18T22:46:39,gpt-4o-mini,"[6, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S014,8/09/2025,0432 913 890,0432 123 806,Email,Extras,WA,"I'm annoyed about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issues', 'Lack of escalation process', 'Poor team accountability']",It seems like there is no proper escalation process or accountability within the team.,The user is frustrated with the handling of their account lock situation and the apparent lack of procedures for escalation or accountability.,Negative,2025-11-18T22:46:39,gpt-4o-mini,"[6, 3, 5]",Poor team accountability,Team accountability challenges
S015,5/05/2025,0457 674 111,0442 649 469,Web,Extras,QLD,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Slow response time', 'Confusing process', 'Frustrating experience']",I faced a slow response recently and it caused significant inconvenience.,"The customer expresses frustration due to delays and confusion during their experience, indicating areas for improvement.",Negative,2025-11-18T22:46:41,gpt-4o-mini,"[4, 10, 8]",Slow response time,Service response efficiency
S015,5/05/2025,0457 674 111,0442 649 469,Web,Extras,QLD,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Slow response time', 'Confusing process', 'Frustrating experience']",I faced a slow response recently and it caused significant inconvenience.,"The customer expresses frustration due to delays and confusion during their experience, indicating areas for improvement.",Negative,2025-11-18T22:46:41,gpt-4o-mini,"[4, 10, 8]",Confusing process,Communication improvement needs
S015,5/05/2025,0457 674 111,0442 649 469,Web,Extras,QLD,"I faced a slow response recently and it caused significant inconvenience. While the agent tried to help, the process was confusing and slow, making the whole experience frustrating.","['Slow response time', 'Confusing process', 'Frustrating experience']",I faced a slow response recently and it caused significant inconvenience.,"The customer expresses frustration due to delays and confusion during their experience, indicating areas for improvement.",Negative,2025-11-18T22:46:41,gpt-4o-mini,"[4, 10, 8]",Frustrating experience,Customer service issues
S016,11/09/2025,0492 243 675,0416 863 979,Phone,Extras,QLD,"I'm angry about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issue', 'Lack of escalation process', 'Poor team accountability']",I'm angry about how my account locked was addressed.,"The user expresses frustration with how their account lock problem was handled, highlighting systemic issues in escalation and accountability.",Negative,2025-11-18T22:46:44,gpt-4o-mini,"[6, 3, 5]",Account lock issue,Account locking challenges
S016,11/09/2025,0492 243 675,0416 863 979,Phone,Extras,QLD,"I'm angry about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issue', 'Lack of escalation process', 'Poor team accountability']",I'm angry about how my account locked was addressed.,"The user expresses frustration with how their account lock problem was handled, highlighting systemic issues in escalation and accountability.",Negative,2025-11-18T22:46:44,gpt-4o-mini,"[6, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S016,11/09/2025,0492 243 675,0416 863 979,Phone,Extras,QLD,"I'm angry about how my account locked was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Account lock issue', 'Lack of escalation process', 'Poor team accountability']",I'm angry about how my account locked was addressed.,"The user expresses frustration with how their account lock problem was handled, highlighting systemic issues in escalation and accountability.",Negative,2025-11-18T22:46:44,gpt-4o-mini,"[6, 3, 5]",Poor team accountability,Team accountability challenges
S017,31/08/2025,0417 284 767,0445 797 704,Mobile App,Ambulance Cover,NT,"Although the product itself is fine, the rude staff made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Rude staff behavior', 'Unpleasant customer experience', 'Need for improved interactions']",the rude staff made the experience unpleasant.,The comment highlights issues with staff behavior impacting customer satisfaction and suggests a need for better service.,Negative,2025-11-18T22:46:46,gpt-4o-mini,"[8, 8, 10]",Rude staff behavior,Customer service issues
S017,31/08/2025,0417 284 767,0445 797 704,Mobile App,Ambulance Cover,NT,"Although the product itself is fine, the rude staff made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Rude staff behavior', 'Unpleasant customer experience', 'Need for improved interactions']",the rude staff made the experience unpleasant.,The comment highlights issues with staff behavior impacting customer satisfaction and suggests a need for better service.,Negative,2025-11-18T22:46:46,gpt-4o-mini,"[8, 8, 10]",Unpleasant customer experience,Customer service issues
S017,31/08/2025,0417 284 767,0445 797 704,Mobile App,Ambulance Cover,NT,"Although the product itself is fine, the rude staff made the experience unpleasant. I hope future interactions can be smoother and more efficient for customers like me.","['Rude staff behavior', 'Unpleasant customer experience', 'Need for improved interactions']",the rude staff made the experience unpleasant.,The comment highlights issues with staff behavior impacting customer satisfaction and suggests a need for better service.,Negative,2025-11-18T22:46:46,gpt-4o-mini,"[8, 8, 10]",Need for improved interactions,Communication improvement needs
S018,10/05/2025,0419 222 168,0498 686 581,Phone,Travel,WA,"I'm disappointed about how my unclear instructions was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unclear instructions handling', 'Lack of escalation process', 'Poor team accountability']",I'm disappointed about how my unclear instructions was addressed.,The customer expresses disappointment in the handling of their issue and notes systemic failures in escalation and accountability.,Negative,2025-11-18T22:46:49,gpt-4o-mini,"[10, 3, 5]",Unclear instructions handling,Communication improvement needs
S018,10/05/2025,0419 222 168,0498 686 581,Phone,Travel,WA,"I'm disappointed about how my unclear instructions was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unclear instructions handling', 'Lack of escalation process', 'Poor team accountability']",I'm disappointed about how my unclear instructions was addressed.,The customer expresses disappointment in the handling of their issue and notes systemic failures in escalation and accountability.,Negative,2025-11-18T22:46:49,gpt-4o-mini,"[10, 3, 5]",Lack of escalation process,Escalation and follow-up issues
S018,10/05/2025,0419 222 168,0498 686 581,Phone,Travel,WA,"I'm disappointed about how my unclear instructions was addressed. It seems like there is no proper escalation process or accountability within the team, which made things worse.","['Unclear instructions handling', 'Lack of escalation process', 'Poor team accountability']",I'm disappointed about how my unclear instructions was addressed.,The customer expresses disappointment in the handling of their issue and notes systemic failures in escalation and accountability.,Negative,2025-11-18T22:46:49,gpt-4o-mini,"[10, 3, 5]",Poor team accountability,Team accountability challenges
S019,18/08/2025,0479 657 820,0445 144 173,Mobile App,Extras,NT,"I am quite polite but firm with how the miscommunication was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Miscommunication issues', 'Delayed resolution', 'Unclear support communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses frustration over communication delays and misunderstandings from the support team, indicating an area for improvement.",Negative,2025-11-18T22:46:53,gpt-4o-mini,"[10, 4, 1]",Miscommunication issues,Communication improvement needs
S019,18/08/2025,0479 657 820,0445 144 173,Mobile App,Extras,NT,"I am quite polite but firm with how the miscommunication was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Miscommunication issues', 'Delayed resolution', 'Unclear support communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses frustration over communication delays and misunderstandings from the support team, indicating an area for improvement.",Negative,2025-11-18T22:46:53,gpt-4o-mini,"[10, 4, 1]",Delayed resolution,Service response efficiency
S019,18/08/2025,0479 657 820,0445 144 173,Mobile App,Extras,NT,"I am quite polite but firm with how the miscommunication was handled. It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","['Miscommunication issues', 'Delayed resolution', 'Unclear support communication']","It took longer than expected to get a resolution, and the communication from your support team was not clear enough.","The customer expresses frustration over communication delays and misunderstandings from the support team, indicating an area for improvement.",Negative,2025-11-18T22:46:53,gpt-4o-mini,"[10, 4, 1]",Unclear support communication,Support communication challenges
S020,21/05/2025,0412 231 446,0415 740 755,Branch,Hospital,WA,The overall experience was not great due to a damaged parcel. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Damaged parcel', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a damaged parcel.,"The customer expresses dissatisfaction with the service, highlighting an unresolved issue and the need for repeated contacts.",Negative,2025-11-18T22:46:55,gpt-4o-mini,"[0, 2, 1]",Damaged parcel,Delivery handling concerns
S020,21/05/2025,0412 231 446,0415 740 755,Branch,Hospital,WA,The overall experience was not great due to a damaged parcel. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Damaged parcel', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a damaged parcel.,"The customer expresses dissatisfaction with the service, highlighting an unresolved issue and the need for repeated contacts.",Negative,2025-11-18T22:46:55,gpt-4o-mini,"[0, 2, 1]",Poor service quality,Service and Product Quality
S020,21/05/2025,0412 231 446,0415 740 755,Branch,Hospital,WA,The overall experience was not great due to a damaged parcel. I had to contact support multiple times and it still remains unresolved. I expected better service quality.,"['Damaged parcel', 'Poor service quality', 'Multiple support contacts']",The overall experience was not great due to a damaged parcel.,"The customer expresses dissatisfaction with the service, highlighting an unresolved issue and the need for repeated contacts.",Negative,2025-11-18T22:46:55,gpt-4o-mini,"[0, 2, 1]",Multiple support contacts,Support communication challenges
